Rank,Release Group,Worldwide,Domestic,%,Foreign,%
86,Groundhog Day 2021 Re-release,"$166,447","$166,447",100%,-,-
87,Blind,"$147,131",-,-,"$147,131",100%
88,The Reckoning,"$143,532","$143,532",100%,-,-
89,No Man's Land,"$139,221","$139,221",100%,-,-
90,Go back,"$130,252",-,-,"$130,252",100%
91,Jurassic World 2021 Re-release,"$115,000","$115,000",100%,-,-
92,The World to Come,"$108,871","$108,871",100%,-,-
93,Redemption Day,"$106,356",-,-,"$106,356",100%
94,From the Vine,"$100,154",-,-,"$100,154",100%
95,Khara Khaar,"$88,201",-,-,"$88,201",100%
96,Minari,"$87,803",-,-,"$87,803",100%
97,The Elfkins 2021 Re-release,"$87,193",-,-,"$87,193",100%
98,Breakout Brothers,"$85,037",-,-,"$85,037",100%
99,Belleville Cop 2021 Re-release,"$76,738",-,-,"$76,738",100%
100,My Missing Valentine,"$74,787",-,-,"$74,787",100%
101,Simple Passion,"$72,132",-,-,"$72,132",100%
102,The Lord of the Rings: The Fellowship of the Ring 2019 Re-release,"$70,907",-,-,"$70,907",100%
103,Russia from Above,"$69,918",-,-,"$69,918",100%
104,Breaking News in Yuba County,"$67,033",-,-,"$67,033",100%
105,Hvernig á að vera Klassa Drusla,"$65,299",-,-,"$65,299",100%
106,Remember the Titans 2021 Re-release,"$65,000","$65,000",100%,-,-
107,Scarecrow,"$64,135",-,-,"$64,135",100%
108,Sing 2021 Re-release,"$53,462","$53,000",99.1%,$462,0.9%
109,Our Friend 2021 Re-release,"$53,260",-,-,"$53,260",100%
110,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$50,509",-,-,"$50,509",100%
111,Dara of Jasenovac,"$49,536","$49,536",100%,-,-
112,MLK/FBI,"$45,200","$45,200",100%,-,-
113,Harry Potter and the Deathly Hallows: Part 1 2021 Re-release,"$44,240",-,-,"$44,240",100%
114,My Zoe,"$43,607","$43,607",100%,-,-
115,Some Kind of Heaven,"$43,492","$43,492",100%,-,-
116,Harry Potter and the Goblet of Fire 2021 Re-release,"$42,124",-,-,"$42,124",100%
117,The Wall of Shadows,"$39,233",-,-,"$39,233",100%
118,Little Fish,"$38,545","$38,545",100%,-,-
119,Maledetto Modigliani,"$35,367",-,-,"$35,367",100%
120,Bloody Hell,"$28,037","$28,037",100%,-,-
121,Brave Father Online: Our Story of Final Fantasy XIV 2021 Re-release,"$27,203",-,-,"$27,203",100%
122,The Night,"$26,114","$26,114",100%,-,-
123,Harry Potter and the Prisoner of Azkaban 2021 Re-release,"$24,638",-,-,"$24,638",100%
124,Fear of Rain,"$24,565",-,-,"$24,565",100%
125,Daisy Quokka: World's Scariest Animal,"$23,778",-,-,"$23,778",100%
126,The Voice of the Moon,"$23,041",-,-,"$23,041",100%
127,Breaking the Waves 2021 Re-release,"$22,562",-,-,"$22,562",100%
128,The Redeemers,"$22,283",-,-,"$22,283",100%
129,My Big Mama's Crazy Ride,"$22,004",-,-,"$22,004",100%
130,Big Miracle 2021 Re-release,"$20,846",-,-,"$20,846",100%
131,Korporatsiya Ad Libitum,"$20,779",-,-,"$20,779",100%
132,Beyond the Sky,"$19,761",-,-,"$19,761",100%
133,Playhouse,"$18,243",-,-,"$18,243",100%
134,JT LeRoy 2021 Re-release,"$16,549",-,-,"$16,549",100%
135,The People Upstairs,"$13,960",-,-,"$13,960",100%
136,È per il tuo bene,"$11,976",-,-,"$11,976",100%
137,The Very Excellent Mr. Dundee,"$11,529",-,-,"$11,529",100%
138,Food Club,"$11,328",-,-,"$11,328",100%
139,About Hope,"$10,814","$10,814",100%,-,-
140,All Hands on Deck,"$10,103",-,-,"$10,103",100%
141,"Botticelli, Florence And The Medici","$9,887",-,-,"$9,887",100%
142,Ramprasad Ki Tehrvi,"$9,727",-,-,"$9,727",100%
143,Average Joe,"$9,176","$9,176",100%,-,-
144,Rurangi,"$9,052",-,-,"$9,052",100%
145,What Lies Below,"$8,550",-,-,"$8,550",100%
146,The Host,"$7,818",-,-,"$7,818",100%
147,Days of the Bagnold Summer,"$7,812",-,-,"$7,812",100%
148,Hunted,"$6,391",-,-,"$6,391",100%
149,Sumikko Gurashi the Movie: The Unexpected Picture Book and the Secret Child 2021 Re-release,"$6,332",-,-,"$6,332",100%
150,Barb and Star Go to Vista Del Mar,"$5,842",-,-,"$5,842",100%
151,Uppena,"$5,820",-,-,"$5,820",100%
152,Jack and the Cuckoo-Clock Heart 2021 Re-release,"$5,532",-,-,"$5,532",100%
153,Tomato Red: Blood Money,"$5,504","$5,504",100%,-,-
154,Zombie Bro,"$5,208","$5,208",100%,-,-
155,The Incredible 25th Year of Mitzi Bearclaw,"$4,806","$4,806",100%,-,-
156,Check,"$4,363",-,-,"$4,363",100%
157,The Delivered,"$4,221",-,-,"$4,221",100%
158,438 Days,"$4,076",-,-,"$4,076",100%
159,Twin Murders: The Silence of the White City 2021 Re-release,"$3,803",-,-,"$3,803",100%
160,Madam Chief Minister,"$3,797",-,-,"$3,797",100%
161,Line of Descent,"$3,599",-,-,"$3,599",100%
162,Turn of the Screw,"$3,281",-,-,"$3,281",100%
163,For the Sake of Vicious,"$3,131",-,-,"$3,131",100%
164,Abandoned: Angelique's Isle,"$3,021","$3,021",100%,-,-
165,The Penitent Thief,"$3,019",-,-,"$3,019",100%
166,Tuesdays and Fridays,"$2,618",-,-,"$2,618",100%
167,Fellini of the Spirits,"$2,586",-,-,"$2,586",100%
168,Mother to Earth,"$2,250","$2,250",100%,-,-
169,A Glitch in the Matrix,"$2,238","$2,238",100%,-,-
170,Adopt a Daddy 2021 Re-release,"$1,124",-,-,"$1,124",100%
171,Elbow Grease,$917,$917,100%,-,-
172,Automation,$824,-,-,$824,100%
173,The Dig,$693,-,-,$693,100%
174,Run with the Hunted,$682,-,-,$682,100%
175,Money Plane,$618,-,-,$618,100%
176,Békeidö,$431,-,-,$431,100%
177,Woman on the Beach 2021 Re-release,$160,-,-,$160,100%
178,Distorted 2021 Re-release,$152,-,-,$152,100%
179,Billie Eilish: The World's a Little Blurry,$139,-,-,$139,100%
